AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
523502,14567000010,4260,NA,NA,C D BANKS,AV,NA,20,8/31/2015 0:00:00,$11000.00,WRECK COMMERICIAL BUILDING  (PKG 5-FY16)
523503,14712000040,5230,NA,NA,GRACE,AV,NA,1,8/21/2015 0:00:00,$7000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 6-FY16)
523504,12083000280,2825,NA,NA,SIDNEY,ST,NA,1,8/26/2015 0:00:00,$3999.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (PKG 6-FY16)
523505,16072000190,4944,NA,NA,FAIRVIEW,AV,NA,1,9/24/2015 0:00:00,$5750.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 7-FY16)
523506,14170030030,4476,NA,NA,BECK,AV,NA,1,10/8/2015 0:00:00,$5750.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 7-FY16)
523509,13772000710,4753,-55,NA,NEWBERRY,TER,NA,20,9/25/2015 0:00:00,$7000.00,WRECK COMMERCIAL BRICK BUILDING
523562,10932000110,2618,NA,NA,DR MARTIN LUTHER KING,DR,NA,20,8/20/2015 0:00:00,$13000.00,WRECK COMMERCIAL BUILDING
523575,14391110340,4819,NA,NA,ANDERSON,AV,NA,1,8/31/2015 0:00:00,$4800.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
523622,15037000130,4202,NA,W,FARLIN,AV,NA,1,10/7/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE (PKG 9-FY16)
523623,13566000300,4200,-2,NA,HARRIS,AV,NA,2,9/29/2015 0:00:00,$3500.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 9-FY16)
523624,14956000085,3846,NA,NA,FOLSOM,AV,NA,1,8/20/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 10-FY16)
523625,11037000260,3149,NA,NA,DR SAMUEL T SHEPARD,DR,NA,20,10/5/2015 0:00:00,$6000.00,WRECK COMMERCIAL BUILDING  (PKG 10-FY16)
523626,12072000100,2614,NA,NA,OHIO,AV,NA,1,8/7/2015 0:00:00,$2949.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (PKG 11-FY16)
523627,12076000130,2624,NA,NA,OREGON,AV,NA,1,9/2/2015 0:00:00,$2949.00,WRECK 1.5 STORY 1 FAMILY BRICK HOUSE  (PKG 11-FY16)
523634,12821000060,459,-R,NA,EICHELBERGER,ST,NA,23,7/29/2015 0:00:00,$2000.00,WRECK 1 CAR FRAME GARAGE
523639,12674000170,4337,NA,S,BROADWAY,NA,NA,1,10/8/2015 0:00:00,$3050.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 13-FY16)
523641,12600000230,4037,NA,NA,NEBRASKA,AV,NA,1,8/27/2015 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (PKG 13-FY16)
523683,11475000330,2835,REAR,NA,WYOMING,ST,NA,23,7/31/2015 0:00:00,$1000.00,WRECK 1 CAR FRAME GARAGE
523693,16269000280,6951,R,NA,HILLSLAND,AV,NA,23,7/31/2015 0:00:00,$500.00,HAND WRECK 1 STORY FRAME GARAGE
523717,15071000230,3926,-R,NA,RANDALL,ST,NA,23,8/4/2015 0:00:00,$2800.00,WRECK 1 CAR FRAME GARAGE  (PKG 14-FY16)
523720,12658000203,4221,-R,NA,OREGON,AV,NA,23,8/4/2015 0:00:00,$2800.00,WRECK 2 CAR FRAME GARAGE  (PKG 14-FY16)
523721,13132000170,7810,NA,NA,VIRGINIA,AV,NA,1,9/4/2015 0:00:00,$6000.00,WRECK 1.5 STORY 1 FAMILY FRAME HOUSE (PKG 14-FY16)
523722,11483000070,3432,-R,NA,JUNIATA,ST,NA,23,8/4/2015 0:00:00,$2800.00,WRECK 1 CAR FRAME GARAGE  (PKG 14-FY16)
523756,13333000010,140,NA,E,PRAIRIE,AV,NA,20,10/16/2015 0:00:00,$195000.00,WRECK COMMERCIAL BUILDING
523854,13824000510,5879,NA,NA,JULIAN,AV,NA,23,8/7/2015 0:00:00,$1575.00,WRECK 1 CAR BRICK (HANDWRECK)
523878,13913010225,4251,-59,NA,LINDELL,BLVD,NA,20,8/21/2015 0:00:00,$83775.00,MACHINE WRECK 2 STORY COMMERCIAL BUILDING & CANOPY
523881,13804000020,1456,-62,NA,BELT,AV,NA,1,9/4/2015 0:00:00,$7000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
523883,15456000110,5734,NA,NA,ACME,AV,NA,1,9/28/2015 0:00:00,$7500.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
523884,13788000200,1441,NA,N,KINGSHIGHWAY,BLVD,NA,20,9/17/2015 0:00:00,$8900.00,WRECK COMMERCIAL BUILDING (RESTAURANT)
523885,13830010295,1112,NA,NA,HODIAMONT,AV,NA,2,8/28/2015 0:00:00,$6250.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE
